exit_time,symbol,lot_id,entry_time,entry_price,exit_price,qty,pnl_usd,pnl_pct,reason
2026-05-14T01:33:49.773502+00:00,BTC/USD,ALP-28a8cfcf,2026-05-08T01:08:36.808182+00:00,79826.948331,79437.75,0.001257,-0.4892,-0.4876,alpaca-history
2026-05-20T23:16:31.019314+00:00,BTC/USD,ALP-316c773f,2026-05-08T01:08:36.808182+00:00,79826.948331,77309.2,0.098743,-248.61,-3.154,alpaca-history
2026-05-20T23:16:31.019314+00:00,BTC/USD,ALP-316c773f,2026-05-14T01:32:45.193621+00:00,79554.643,77309.2,0.001257,-2.8225,-2.8225,alpaca-history
2026-05-20T23:16:31.019314+00:00,BTC/USD,ALP-316c773f,2026-05-18T16:30:16.081499+00:00,76255.6,77309.2,0.00103762,1.0932,1.3817,alpaca-history
2026-06-24T18:40:04.919142+00:00,NVDA,ALP-665be9c5,2026-06-24T18:20:04.276658+00:00,198.27,198.05,5.04357694,-1.1096,-0.111,alpaca-history
2026-06-24T18:45:07.331792+00:00,TSLA,ALP-76a6ce54,2026-05-14T13:30:00.342516+00:00,445.9,375.656654,0.350877,-24.6468,-15.7532,alpaca-history
2026-06-24T18:45:07.331792+00:00,TSLA,ALP-76a6ce54,2026-06-24T18:20:06.492863+00:00,376.64,375.656654,2.65502867,-2.6108,-0.2611,alpaca-history
2026-06-24T20:06:37.049500+00:00,ETH/USD,ALP-86baa636,2026-06-24T16:25:03.734416+00:00,1631.21,1606.6,0.60098458,-14.7902,-1.5087,alpaca-history
2026-06-24T20:06:37.049500+00:00,ETH/USD,ALP-86baa636,2026-06-24T18:15:08.748485+00:00,1568.8,1606.6,0.02416342,0.9134,2.4095,alpaca-history
2026-06-25T13:35:02.116531+00:00,GOOGL,ALP-dffa802c,2026-05-14T13:30:01.747671+00:00,397.44,337.673192,0.588235,-35.1569,-15.0379,alpaca-history
2026-06-25T13:35:02.116531+00:00,GOOGL,ALP-dffa802c,2026-06-24T19:25:04.153545+00:00,345.3,337.673192,2.89600348,-22.0873,-2.2087,alpaca-history
2026-06-25T15:08:23.187555+00:00,MSFT,ALP-ea1b1830,2026-06-25T14:30:02.276471+00:00,359.89,354.49,2.77859902,-15.0044,-1.5005,alpaca-history
2026-06-25T15:10:08.052742+00:00,META,ALP-bf2bbac5,2026-06-25T14:20:06.990053+00:00,552.414,551.25,1.81021842,-2.1071,-0.2107,alpaca-history
2026-06-25T15:15:02.341130+00:00,GOOGL,ALP-2a66da71,2026-06-25T14:10:07.193126+00:00,341.43,339.634143,2.92882875,-5.2598,-0.526,alpaca-history
2026-06-25T15:30:01.769788+00:00,NVDA,ALP-2db46f4d,2026-06-25T14:40:04.536905+00:00,195.029255,195.12,5.12738462,0.4653,0.0465,alpaca-history
2026-06-25T16:05:01.796798+00:00,AMZN,ALP-e2449086,2026-06-25T14:30:11.771687+00:00,229.061453,229.03,4.36559703,-0.1373,-0.0137,alpaca-history
2026-06-25T16:22:29.688744+00:00,AAPL,ALP-d85f5157,2026-06-25T14:40:06.821536+00:00,279.797616,275.23,3.57397613,-16.3246,-1.6325,alpaca-history
